Entités intégrées;Adresse;Mode d'intégration;Date de clôture;Pourcentage de capital détenu;
;;;;;
A - Mandataire(s) (association de financement ou mandataire financier personne physique);;;;;
AFIR (AFEMA);68 rue du Rocher, 75008 Paris;Intégration Globale;31/12/2022;n.a;
B - Entités concernées;;;;;
;;;;;
Référent Deux-Sèvres;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Somme;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Tarn;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Tarn-et-Garonne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Var;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Vaucluse;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Vendée;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Vienne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Haute-Vienne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Vosges;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Yonne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Territoire de Belfort;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Essonne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Hauts-de-Seine;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Seine-St-Denis;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Val-de-Marne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Val-D'Oise;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Guadeloupe;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Martinique;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent La Réunion;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Mayotte;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Saint Pierre et Miquelon;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Saint Martin / Saint Bathélemy;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Polynésie Française;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Nouvelle Calédonie;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Afrique Australe;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Allemagne Autriche;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Afrique Centrale et de l'Ouest;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Asie du Nord;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Asie du Sud;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Amérique Latine;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Bénélux;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Canada;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Europe de l'Est;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Europe du Nord;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Europe Méditerranéenne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent USA;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Moyen Orient;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Maghreb Sahel ;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Péninsule Ibérique;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Suisse;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité Renaissance Canton Belley;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité Bassin de Bourg-en-Bresse Renaissance !;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité Dombes Renaissance !;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité Pays de Gex Renaissance !;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité La Plaine de l'Ain Renaissance;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité Renaissance à Meximieux;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité La Côtière;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité Haut-Bugey;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité Val de Saône;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité Château-Thierry Renaissance;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité Renaissance Chauny;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité Renaissance PAYS DE LA SERRE;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
comité La République Renaissance Val de l’Aisne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
